recid,year,amount,dept_code,cofog_level1_code,cofog_level2_code,cofog_level3_code,pog,id_or_non_id,cap_or_cur,cg_lg_or_pc,nuts_region
2008-17,2008,4306223.93,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North West
2009-17,2009,6529655.63,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North West
2010-17,2010,4904064.71,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North West
2004-18,2004,3483753.48,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2005-18,2005,2961679.29,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2006-18,2006,3160564.70,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2007-18,2007,3232260.28,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2008-18,2008,3261497.18,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2009-18,2009,4945505.34,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2010-18,2010,3714296.68,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2004-19,2004,2791148.98,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East Midlands
2005-19,2005,2372868.28,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East Midlands
2006-19,2006,2532213.31,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East Midlands
2007-19,2007,2589655.10,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East Midlands
2008-19,2008,2613079.42,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East Midlands
2009-19,2009,3962290.18,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East Midlands
2010-19,2010,2975857.92,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East Midlands
2004-20,2004,3356979.61,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_West Midlands
2005-20,2005,2853903.72,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_West Midlands
2006-20,2006,3045551.68,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_West Midlands
2007-20,2007,3114638.25,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_West Midlands
2008-20,2008,3142811.22,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_West Midlands
2009-20,2009,4765538.29,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_West Midlands
2010-20,2010,3579133.33,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_West Midlands
2004-21,2004,3340564.90,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East
2005-21,2005,2839948.90,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East
2006-21,2006,3030659.76,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East
2007-21,2007,3099408.52,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East
2008-21,2008,3127443.73,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East
2009-21,2009,4742236.11,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East
2010-21,2010,3561632.35,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_East
2004-22,2004,4838856.88,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_London
2005-22,2005,4113707.33,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_London
2006-22,2006,4389954.78,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_London
2007-22,2007,4489538.36,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_London
2008-22,2008,4530147.77,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_London
2009-22,2009,6869198.04,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_London
2010-22,2010,5159076.30,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_London
2004-23,2004,4851123.91,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South East
2005-23,2005,4124136.03,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South East
2006-23,2006,4401083.79,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South East
2007-23,2007,4500919.83,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South East
2008-23,2008,4541632.19,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South East
2009-23,2009,6886612.20,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South East
2010-23,2010,5172155.12,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South East
2004-24,2004,2852760.33,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South West
2005-24,2005,2425246.57,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South West
2006-24,2006,2588108.95,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South West
2007-24,2007,2646818.71,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South West
2008-24,2008,2670760.09,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South West
2009-24,2009,4049753.09,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South West
2010-24,2010,3041546.50,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_South West
2004-25,2004,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,OUTSIDE UK
2005-25,2005,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,OUTSIDE UK
2006-25,2006,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,OUTSIDE UK
2007-25,2007,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,OUTSIDE UK
2008-25,2008,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,OUTSIDE UK
2009-25,2009,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,OUTSIDE UK
2010-25,2010,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,OUTSIDE UK
2004-26,2004,67017.63,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,SCOTLAND
2005-26,2005,56773.50,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,SCOTLAND
2006-26,2006,61751.96,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,SCOTLAND
2007-26,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,SCOTLAND
2008-26,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,SCOTLAND
